model_id,n_params,log_params,log_flops,gpu_model,gpu_model_enc,gpu_count,tdp_w,train_type,train_type_enc,task,task_enc,downloads,likes,energy_kwh,log_energy_kwh,source
Qwen/Qwen3-8B-AWQ,8000000000.0,9.903089986991944,21.380211241711606,t4,5,1,70.0,pre-train,1,text-generation,14,1763246,45,4.48,0.651278013998144,huggingface
Lorbus/Qwen3.6-27B-int4-AutoRound,27000000000.0,10.431363764158988,21.90848501887865,t4,5,1,70.0,pre-train,1,image-text-to-text,7,1712763,112,15.120000000000001,1.1795517911651878,huggingface
stable-diffusion-v1-5/stable-diffusion-v1-5,5000000000.0,9.698970004336019,19.17609125905568,a100,0,1,400.0,fine-tune,0,text-to-image,17,1704765,1146,2.0,0.3010299956639812,huggingface
google/embeddinggemma-300m,320000000000.0,11.505149978319906,22.98227123303957,t4,5,1,70.0,pre-train,1,sentence-similarity,12,1701766,1704,35.0,1.5440680443502757,huggingface
ResembleAI/chatterbox,756000000000.0,11.878521795501207,23.35564305022087,l4,2,1,72.0,pre-train,1,text-to-speech,18,1694198,1608,36.0,1.5563025007672873,huggingface
facebook/esm2_t12_35M_UR50D,15000000000.0,10.176091259055681,19.653212513775344,t4,5,1,70.0,unknown,2,fill-mask,5,1638170,23,1.05,0.021189299069938092,huggingface
moonshotai/Kimi-K2.5,6000000000.0,9.778151250383644,21.255272505103306,t4,5,1,70.0,pre-train,1,image-text-to-text,7,1628891,2816,3.3600000000000003,0.5263392773898441,huggingface
usyd-community/vitpose-plus-base,1000000000.0,9.0,20.477121254719663,a100,0,1,400.0,pre-train,1,keypoint-detection,10,1575558,32,3.2,0.505149978319906,huggingface
Qwen/Qwen3-Omni-30B-A3B-Instruct,30000000000.0,10.477121254719663,19.954242509439325,t4,5,1,70.0,fine-tune,0,any-to-any,0,1562976,936,2.1,0.3222192947339193,huggingface
HuggingFaceTB/SmolLM2-135M-Instruct,1700000000.0,9.230448921378274,20.707570176097935,h100,1,1,700.0,pre-train,1,text-generation,14,1543897,340,9.52,0.9786369483844743,huggingface
Qwen/Qwen2-VL-7B-Instruct-AWQ,72000000000.0,10.857332496431269,22.33445375115093,a100,0,1,400.0,pre-train,1,image-text-to-text,7,1538289,49,200.0,2.3010299956639813,huggingface
meta-llama/Llama-3.2-3B-Instruct,1000000000.0,9.0,20.477121254719663,h100,1,1,700.0,pre-train,1,text-generation,14,1509782,2214,5.6,0.7481880270062004,huggingface
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,120000000000.0,11.079181246047625,20.556302500767288,h100,1,1,700.0,fine-tune,0,text-generation,14,1490275,346,84.0,1.9242792860618816,huggingface
nvidia/bigvgan_v2_22khz_80band_256x,122000000000.0,11.086359830674748,20.56348108539441,a100,0,1,400.0,fine-tune,0,audio-to-audio,2,1465502,29,48.800000000000004,1.6884198220027107,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,30000000000.0,10.477121254719663,19.954242509439325,a100,0,1,400.0,fine-tune,0,text-generation,14,1422536,761,12.0,1.0791812460476249,huggingface
facebook/musicgen-medium,1500000000.0,9.176091259055681,20.653212513775344,l4,2,1,72.0,pre-train,1,text-to-audio,16,1412813,162,0.8639999999999999,-0.06348625752110677,huggingface
HuggingFaceTB/SmolLM2-135M,1700000000.0,9.230448921378274,20.707570176097935,h100,1,1,700.0,pre-train,1,text-generation,14,1381190,198,9.52,0.9786369483844743,huggingface
meta-llama/Meta-Llama-3-8B-Instruct,8000000000.0,9.903089986991944,21.380211241711606,h100,1,1,700.0,pre-train,1,text-generation,14,1362807,4587,44.8,1.651278013998144,huggingface
dslim/bert-base-NER,66000000000.0,10.81954393554187,20.296665190261532,v100,6,1,300.0,fine-tune,0,token-classification,20,1337139,718,19.8,1.2966651902615312,huggingface
meta-llama/Meta-Llama-3-8B,8000000000.0,9.903089986991944,21.380211241711606,h100,1,1,700.0,pre-train,1,text-generation,14,1302979,6569,44.8,1.651278013998144,huggingface
meta-llama/Llama-3.1-8B,1000000000.0,9.0,20.477121254719663,h100,1,1,700.0,pre-train,1,text-generation,14,1265513,2248,5.6,0.7481880270062004,huggingface
facebook/esm2_t6_8M_UR50D,15000000000.0,10.176091259055681,19.653212513775344,t4,5,1,70.0,unknown,2,fill-mask,5,1222752,34,1.05,0.021189299069938092,huggingface
microsoft/Phi-4-mini-instruct,3800000000.0,9.57978359661681,21.056904851336473,a100,0,1,400.0,pre-train,1,text-generation,14,1221436,763,12.16,1.0849335749367162,huggingface
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,1700000000.0,9.230448921378274,20.707570176097935,t4,5,1,70.0,pre-train,1,text-generation,14,1122005,0,0.9520000000000001,-0.021363051615525624,huggingface
litert-community/gemma-4-E2B-it-litert-lm,2000000000.0,9.301029995663981,18.778151250383644,t4,5,1,70.0,unknown,2,unknown,21,1102932,252,0.14,-0.8538719643217619,huggingface
nvidia/Llama-3.1-Nemotron-Nano-VL-8B-V1,8000000000.0,9.903089986991944,21.380211241711606,h100,1,1,700.0,pre-train,1,image-text-to-text,7,1091760,180,44.8,1.651278013998144,huggingface
unsloth/Qwen3.6-27B-MTP-GGUF,27000000000.0,10.431363764158988,19.90848501887865,l4,2,1,72.0,fine-tune,0,image-text-to-text,7,1067735,703,1.944,0.28869626059025577,huggingface
mixedbread-ai/mxbai-rerank-base-v1,7000000000.0,9.845098040014257,21.32221929473392,l4,2,1,72.0,pre-train,1,text-ranking,15,1056378,46,4.032,0.6055205234374689,huggingface
deepseek-ai/DeepSeek-V3,671000000000.0,11.826722520168993,21.303843774888655,t4,5,1,70.0,unknown,2,text-generation,14,1010139,4085,35.0,1.5440680443502757,huggingface
fixie-ai/ultravox-v0_5-llama-3_2-1b,1000000000.0,9.0,18.477121254719663,h100,1,1,700.0,fine-tune,0,audio-text-to-text,1,996996,80,0.7,-0.1549019599857432,huggingface
Snowflake/snowflake-arctic-embed-l-v2.0,303000000000.0,11.481442628502306,22.958563883221967,t4,5,1,70.0,pre-train,1,sentence-similarity,12,963008,247,35.0,1.5440680443502757,huggingface
unsloth/Qwen3.6-35B-A3B-MTP-GGUF,35000000000.0,10.544068044350276,20.02118929906994,l4,2,1,72.0,fine-tune,0,image-text-to-text,7,915489,481,2.52,0.4014005407815441,huggingface
meta-llama/Llama-3.2-3B,1000000000.0,9.0,20.477121254719663,h100,1,1,700.0,pre-train,1,text-generation,14,905721,811,5.6,0.7481880270062004,huggingface
microsoft/TRELLIS.2-4B,4000000000.0,9.602059991327963,19.079181246047625,a100,0,1,400.0,fine-tune,0,image-to-3d,8,896567,916,1.6,0.2041199826559248,huggingface
TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,1100000000.0,9.041392685158225,18.518513939877888,a100,0,1,400.0,fine-tune,0,text-generation,14,888377,10,0.44000000000000006,-0.3565473235138125,huggingface
microsoft/Phi-3.5-mini-instruct,3800000000.0,9.57978359661681,21.056904851336473,a100,0,1,400.0,pre-train,1,text-generation,14,870270,987,12.16,1.0849335749367162,huggingface
nomic-ai/nomic-embed-text-v2-moe,1600000000.0,9.204119982655925,20.681241237375588,l4,2,1,72.0,pre-train,1,sentence-similarity,12,856391,482,0.9216,-0.035457533920863184,huggingface
nvidia/Kimi-K2.6-NVFP4,32000000000.0,10.505149978319906,19.98227123303957,t4,5,1,70.0,fine-tune,0,text-generation,14,846329,34,2.24,0.35024801833416286,huggingface
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,33000000000.0,10.518513939877888,21.99563519459755,t4,5,1,70.0,pre-train,1,text-generation,14,844266,608,18.48,1.266701966884088,huggingface
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,1000000000.0,9.0,18.477121254719663,a100,0,1,400.0,fine-tune,0,any-to-any,0,825822,134,0.4,-0.3979400086720376,huggingface
microsoft/phi-4,14000000000.0,10.146128035678238,19.6232492903979,h100,1,1,700.0,unknown,2,text-generation,14,809973,2252,9.799999999999999,0.9912260756924948,huggingface
nvidia/Llama-3_3-Nemotron-Super-49B-v1_5,40000000000.0,10.602059991327963,20.079181246047625,a100,0,1,400.0,unknown,2,text-generation,14,760952,233,16.0,1.2041199826559248,huggingface
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,120000000000.0,11.079181246047625,20.556302500767288,a100,0,1,400.0,fine-tune,0,text-generation,14,736531,380,48.0,1.6812412373755872,huggingface
facebook/opt-1.3b,175000000000.0,11.243038048686294,20.720159303405957,a100,0,1,400.0,fine-tune,0,text-generation,14,712314,184,70.0,1.845098040014257,huggingface
meta-llama/Llama-2-7b-hf,7000000000.0,9.845098040014257,19.32221929473392,a100,0,1,400.0,fine-tune,0,text-generation,14,707869,2319,2.8000000000000003,0.44715803134221926,huggingface
microsoft/Phi-tiny-MoE-instruct,3800000000.0,9.57978359661681,21.056904851336473,a100,0,1,400.0,pre-train,1,text-generation,14,702271,38,12.16,1.0849335749367162,huggingface
meta-llama/Llama-3.3-70B-Instruct,70000000000.0,10.845098040014257,22.32221929473392,h100,1,1,700.0,pre-train,1,text-generation,14,691453,2810,350.0,2.5440680443502757,huggingface
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,2000000000.0,9.301029995663981,18.778151250383644,a100,0,1,400.0,unknown,2,zero-shot-image-classification,23,690398,64,0.8,-0.09691001300805639,huggingface
Qwen/Qwen3.5-35B-A3B-GPTQ-Int4,35000000000.0,10.544068044350276,20.02118929906994,t4,5,1,70.0,unknown,2,image-text-to-text,7,686818,88,2.45,0.3891660843645325,huggingface
hugging-quants/Llama-3.2-1B-Instruct-Q8_0-GGUF,1000000000.0,9.0,18.477121254719663,l4,2,1,72.0,unknown,2,text-generation,14,682117,46,0.072,-1.1426675035687315,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-4B-BF16,9000000000.0,9.954242509439325,19.431363764158988,a100,0,1,400.0,fine-tune,0,text-generation,14,677762,91,3.6,0.5563025007672873,huggingface
facebook/esm2_t30_150M_UR50D,15000000000.0,10.176091259055681,19.653212513775344,t4,5,1,70.0,unknown,2,fill-mask,5,667834,10,1.05,0.021189299069938092,huggingface
livekit/turn-detector,500000000.0,8.698970004336019,18.17609125905568,t4,5,1,70.0,fine-tune,0,text-classification,13,666641,107,0.035,-1.4559319556497243,huggingface
meta-llama/Llama-3.1-70B-Instruct,70000000000.0,10.845098040014257,22.32221929473392,h100,1,1,700.0,pre-train,1,text-generation,14,647794,922,350.0,2.5440680443502757,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,30000000000.0,10.477121254719663,19.954242509439325,a100,0,1,400.0,fine-tune,0,text-generation,14,635459,155,12.0,1.0791812460476249,huggingface
nvidia/llama-nemotron-embed-1b-v2,1000000000.0,9.0,18.477121254719663,a100,0,1,400.0,fine-tune,0,image-feature-extraction,6,628470,57,0.4,-0.3979400086720376,huggingface
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,8000000000.0,9.903089986991944,21.380211241711606,t4,5,1,70.0,pre-train,1,image-text-to-text,7,628083,148,4.48,0.651278013998144,huggingface
microsoft/Phi-3-mini-4k-instruct,13000000000.0,10.113943352306837,19.5910646070265,a100,0,1,400.0,fine-tune,0,text-generation,14,610575,1431,5.2,0.7160033436347992,huggingface
Maykeye/TinyLLama-v0,3000000000.0,9.477121254719663,18.954242509439325,a100,0,1,400.0,unknown,2,text-generation,14,600431,43,1.2000000000000002,0.07918124604762489,huggingface
PaddlePaddle/PaddleOCR-VL-1.5-GGUF,3000000000.0,9.477121254719663,18.954242509439325,l4,2,1,72.0,unknown,2,unknown,21,590246,35,0.21599999999999997,-0.6655462488490692,huggingface
Qwen/Qwen3-32B-AWQ,32000000000.0,10.505149978319906,21.98227123303957,t4,5,1,70.0,pre-train,1,text-generation,14,585013,135,17.92,1.2533380053261065,huggingface
ELVISIO/Qwen3-30B-A3B-AWQ,30000000000.0,10.477121254719663,19.954242509439325,t4,5,1,70.0,fine-tune,0,unknown,21,584581,4,2.1,0.3222192947339193,huggingface
Salesforce/blip2-opt-2.7b,2700000000.0,9.431363764158988,18.90848501887865,t4,5,1,70.0,fine-tune,0,image-text-to-text,7,567411,447,0.18900000000000003,-0.7235381958267558,huggingface
facebook/dinov3-vitl16-pretrain-lvd1689m,17000000000.0,10.230448921378274,21.707570176097935,h100,1,1,700.0,pre-train,1,image-feature-extraction,6,562952,320,95.19999999999999,1.9786369483844743,huggingface
opendatalab/MinerU2.5-Pro-2604-1.2B,3000000000.0,9.477121254719663,20.954242509439325,a100,0,1,400.0,pre-train,1,image-text-to-text,7,562072,152,9.600000000000001,0.9822712330395684,huggingface
Doradus-AI/RnJ-1-Instruct-FP8,8000000000.0,9.903089986991944,19.380211241711606,rtx 4090,4,1,450.0,unknown,2,text-generation,14,559083,4,3.6,0.5563025007672873,huggingface
onnx-community/Kokoro-82M-v1.0-ONNX,82000000.0,7.913813852383717,19.390935107103378,l4,2,1,72.0,pre-train,1,text-to-speech,18,555384,225,0.047231999999999996,-1.3257636641930712,huggingface
nvidia/NVIDIA-Nemotron-Nano-9B-v2,12000000000.0,10.079181246047625,21.556302500767288,a100,0,1,400.0,pre-train,1,text-generation,14,545070,494,38.400000000000006,1.584331224367531,huggingface
litert-community/gemma-4-E4B-it-litert-lm,4000000000.0,9.602059991327963,19.079181246047625,t4,5,1,70.0,unknown,2,unknown,21,541937,134,0.28,-0.5528419686577808,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,30000000000.0,10.477121254719663,19.954242509439325,a100,0,1,400.0,fine-tune,0,text-generation,14,540442,348,12.0,1.0791812460476249,huggingface
ibm-granite/granite-speech-4.1-2b,1000000000.0,9.0,18.477121254719663,h100,1,1,700.0,fine-tune,0,automatic-speech-recognition,3,539572,130,0.7,-0.1549019599857432,huggingface
mixedbread-ai/mxbai-rerank-xsmall-v1,7000000000.0,9.845098040014257,21.32221929473392,l4,2,1,72.0,pre-train,1,text-ranking,15,527474,57,4.032,0.6055205234374689,huggingface
HuggingFaceTB/SmolLM3-3B,3000000000.0,9.477121254719663,20.954242509439325,h100,1,1,700.0,pre-train,1,text-generation,14,519434,965,16.799999999999997,1.2253092817258628,huggingface
facebook/dinov3-vitb16-pretrain-lvd1689m,17000000000.0,10.230448921378274,21.707570176097935,h100,1,1,700.0,pre-train,1,image-feature-extraction,6,513604,156,95.19999999999999,1.9786369483844743,huggingface
Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,32000000000.0,10.505149978319906,21.98227123303957,t4,5,1,70.0,pre-train,1,text-generation,14,508469,14,17.92,1.2533380053261065,huggingface
stepfun-ai/Step3-VL-10B,10000000000.0,10.0,21.477121254719663,a100,0,1,400.0,pre-train,1,image-text-to-text,7,489397,406,32.0,1.505149978319906,huggingface
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,120000000000.0,11.079181246047625,20.556302500767288,a100,0,1,400.0,fine-tune,0,text-generation,14,487387,257,48.0,1.6812412373755872,huggingface
Qwen/Qwen2.5-VL-72B-Instruct,72000000000.0,10.857332496431269,22.33445375115093,t4,5,1,70.0,pre-train,1,image-text-to-text,7,487342,628,35.0,1.5440680443502757,huggingface
microsoft/Phi-4-multimodal-instruct,7000000000.0,9.845098040014257,19.32221929473392,a100,0,1,400.0,fine-tune,0,automatic-speech-recognition,3,483742,1601,2.8000000000000003,0.44715803134221926,huggingface
mixedbread-ai/deepset-mxbai-embed-de-large-v1,7000000000.0,9.845098040014257,19.32221929473392,l4,2,1,72.0,fine-tune,0,feature-extraction,4,483109,59,0.504,-0.2975694635544747,huggingface
zai-org/chatglm2-6b,6000000000.0,9.778151250383644,21.255272505103306,t4,5,1,70.0,pre-train,1,unknown,21,479435,2057,3.3600000000000003,0.5263392773898441,huggingface
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-BF16,1000000000.0,9.0,18.477121254719663,a100,0,1,400.0,fine-tune,0,any-to-any,0,470563,341,0.4,-0.3979400086720376,huggingface
ibm-granite/granite-speech-3.3-2b,2000000000.0,9.301029995663981,18.778151250383644,h100,1,1,700.0,fine-tune,0,automatic-speech-recognition,3,466013,55,1.4,0.146128035678238,huggingface
facebook/esm2_t36_3B_UR50D,15000000000.0,10.176091259055681,19.653212513775344,t4,5,1,70.0,unknown,2,fill-mask,5,456947,32,1.05,0.021189299069938092,huggingface
ibm-research/MoLFormer-XL-both-10pct,1100000000.0,9.041392685158225,18.518513939877888,v100,6,1,300.0,fine-tune,0,feature-extraction,4,451222,35,0.33,-0.4814860601221125,huggingface
Intel/Qwen3.5-122B-A10B-int4-AutoRound,122000000000.0,11.086359830674748,22.56348108539441,t4,5,1,70.0,pre-train,1,unknown,21,447897,41,35.0,1.5440680443502757,huggingface
Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,72000000000.0,10.857332496431269,22.33445375115093,t4,5,1,70.0,pre-train,1,text-generation,14,446772,40,35.0,1.5440680443502757,huggingface
antoinelouis/crossencoder-camembert-base-mmarcoFR,8800000000.0,9.94448267215017,19.42160392686983,h100,1,1,700.0,fine-tune,0,text-ranking,15,442742,7,6.16,0.7895807121644255,huggingface
CompVis/stable-diffusion-v1-4,5000000000.0,9.698970004336019,19.17609125905568,a100,0,1,400.0,fine-tune,0,text-to-image,17,441018,7020,2.0,0.3010299956639812,huggingface
microsoft/phi-2,2700000000.0,9.431363764158988,18.90848501887865,a100,0,1,400.0,fine-tune,0,text-generation,14,440531,3469,1.08,0.03342375548694973,huggingface
bigscience/bloom-560m,350000000000.0,11.544068044350276,21.02118929906994,a100,0,1,400.0,fine-tune,0,text-generation,14,438733,374,140.0,2.146128035678238,huggingface
nvidia/bigvgan_v2_44khz_128band_512x,122000000000.0,11.086359830674748,20.56348108539441,a100,0,1,400.0,fine-tune,0,audio-to-audio,2,436225,74,48.800000000000004,1.6884198220027107,huggingface
nvidia/Llama-3.1-8B-Instruct-FP8,8000000000.0,9.903089986991944,19.380211241711606,h100,1,1,700.0,unknown,2,text-generation,14,435043,37,5.6,0.7481880270062004,huggingface
laion/CLIP-convnext_base_w-laion2B-s13B-b82K-augreg,2000000000.0,9.301029995663981,18.778151250383644,a100,0,1,400.0,unknown,2,zero-shot-image-classification,23,434905,8,0.8,-0.09691001300805639,huggingface
bigscience/bloomz-560m,3670000000.0,9.564666064252089,19.041787318971753,a100,0,1,400.0,fine-tune,0,text-generation,14,433838,137,1.468,0.1667260555800517,huggingface
ibm-granite/granite-docling-258M,258000000000.0,11.411619705963231,20.88874096068289,h100,1,1,700.0,fine-tune,0,image-text-to-text,7,424090,1188,180.6,2.256717745977487,huggingface
meta-llama/Llama-4-Scout-17B-16E-Instruct,17000000000.0,10.230448921378274,21.707570176097935,h100,1,1,700.0,pre-train,1,image-text-to-text,7,421808,1304,95.19999999999999,1.9786369483844743,huggingface
Snowflake/snowflake-arctic-embed-m-v1.5,109000000000.0,11.037426497940624,22.514547752660285,t4,5,1,70.0,pre-train,1,sentence-similarity,12,409041,72,35.0,1.5440680443502757,huggingface
ibm-granite/granite-timeseries-ttm-r1,1000000.0,6.0,15.477121254719663,a100,0,1,400.0,fine-tune,0,time-series-forecasting,19,408692,326,0.04000000000000001,-1.3979400086720375,huggingface
dccuchile/bert-base-spanish-wwm-uncased,2000000000.0,9.301029995663981,20.778151250383644,l4,2,1,72.0,pre-train,1,fill-mask,5,403662,75,1.152,0.06145247908719321,huggingface
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,72000000000.0,10.857332496431269,20.33445375115093,t4,5,1,70.0,fine-tune,0,text-generation,14,399157,23,5.040000000000001,0.7024305364455253,huggingface
mistralai/Mistral-Medium-3.5-128B,128000000000.0,11.107209969647869,22.58433122436753,h100,1,1,700.0,pre-train,1,unknown,21,390474,349,350.0,2.5440680443502757,huggingface
openbmb/MiniCPM-o-2_6,7000000000.0,9.845098040014257,21.32221929473392,t4,5,1,70.0,pre-train,1,any-to-any,0,390321,1291,3.9200000000000004,0.5932860670204573,huggingface
nvidia/NVIDIA-Nemotron-Parse-v1.1,1000000000.0,9.0,18.477121254719663,a100,0,1,400.0,fine-tune,0,image-text-to-text,7,389707,169,0.4,-0.3979400086720376,huggingface
black-forest-labs/FLUX.2-klein-4B,4000000000.0,9.602059991327963,21.079181246047625,rtx 3090,3,1,350.0,pre-train,1,image-to-image,9,387529,718,11.2,1.0492180226701815,huggingface
unsloth/Meta-Llama-3.1-8B-Instruct,8000000000.0,9.903089986991944,19.380211241711606,t4,5,1,70.0,fine-tune,0,text-generation,14,383271,97,0.56,-0.25181197299379954,huggingface
ISTA-DASLab/gemma-3-27b-it-GPTQ-4b-128g,27000000000.0,10.431363764158988,21.90848501887865,t4,5,1,70.0,pre-train,1,image-text-to-text,7,377489,44,15.120000000000001,1.1795517911651878,huggingface
IlyaGusev/saiga_llama3_8b,8000000000.0,9.903089986991944,21.380211241711606,t4,5,1,70.0,pre-train,1,text-generation,14,375536,141,4.48,0.651278013998144,huggingface
unsloth/Llama-3.2-1B-Instruct,1000000000.0,9.0,18.477121254719663,t4,5,1,70.0,fine-tune,0,text-generation,14,372166,97,0.07,-1.154901959985743,huggingface
ibm-granite/granite-timeseries-ttm-r2,1000000000.0,9.0,18.477121254719663,t4,5,1,70.0,fine-tune,0,time-series-forecasting,19,364129,163,0.07,-1.154901959985743,huggingface
dphn/Dolphin3.0-Llama3.1-8B,8000000000.0,9.903089986991944,19.380211241711606,h100,1,1,700.0,unknown,2,unknown,21,361046,311,5.6,0.7481880270062004,huggingface
unsloth/mistral-7b-v0.3-bnb-4bit,7000000000.0,9.845098040014257,19.32221929473392,t4,5,1,70.0,fine-tune,0,text-generation,14,360497,22,0.49000000000000005,-0.3098039199714863,huggingface
nvidia/parakeet-tdt-0.6b-v2,600000000.0,8.778151250383644,20.255272505103306,a100,0,1,400.0,pre-train,1,automatic-speech-recognition,3,360108,1494,1.92,0.28330122870354957,huggingface
stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,24000000000.0,10.380211241711606,19.85733249643127,t4,5,1,70.0,fine-tune,0,text-generation,14,359163,29,1.6800000000000002,0.2253092817258629,huggingface
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,70000000000.0,10.845098040014257,22.32221929473392,t4,5,1,70.0,pre-train,1,text-generation,14,357994,109,35.0,1.5440680443502757,huggingface
Qwen/Qwen3.5-27B-GPTQ-Int4,27000000000.0,10.431363764158988,19.90848501887865,t4,5,1,70.0,unknown,2,image-text-to-text,7,357186,55,1.8900000000000001,0.2764618041732442,huggingface
camenduru/dinov3-vitl16-pretrain-lvd1689m,17000000000.0,10.230448921378274,21.707570176097935,h100,1,1,700.0,pre-train,1,image-feature-extraction,6,349603,9,95.19999999999999,1.9786369483844743,huggingface
1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase,1000000000.0,9.0,18.477121254719663,a100,0,1,400.0,fine-tune,0,unknown,21,343392,67,0.4,-0.3979400086720376,huggingface
tiiuae/falcon-7b,11000000000.0,10.041392685158225,19.518513939877888,a100,0,1,400.0,fine-tune,0,text-generation,14,339803,1104,4.4,0.6434526764861874,huggingface
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,4000000000.0,9.602059991327963,19.079181246047625,a100,0,1,400.0,fine-tune,0,zero-shot-classification,22,339119,366,1.6,0.2041199826559248,huggingface
